Implementation, query, optimization, repetitions, stddev, time
Indexed Algebra, scripts/hugejoin/queries/140.sql, Side-way Information Passing, 1000, 0.00151258, 0.02571
Indexed Algebra, scripts/hugejoin/queries/140.sql, Cardinality Estimation, 1000, 2.94557, 78.4638
Indexed Algebra, scripts/hugejoin/queries/140.sql, Join Ordering, 1000, 74.6426, 2068.23
Indexed Algebra, scripts/hugejoin/queries/140.sql, Common Subtree Elimination, 1000, 0.00585727, 0.035479
Indexed Algebra, scripts/hugejoin/queries/140.sql, Physical Planning, 1000, 9.70593, 328.624
Indexed Algebra, scripts/hugejoin/queries/140.sql, Total, 1000, 89.9552, 2936.72
Indexed Algebra, scripts/hugejoin/queries/150.sql, Simplify Expressions, 1000, 4.66297, 32.449
Indexed Algebra, scripts/hugejoin/queries/150.sql, Unnesting, 1000, 4.52636, 71.8839
Indexed Algebra, scripts/hugejoin/queries/150.sql, Predicate Pushdown, 1000, 38.6667, 364.342
Indexed Algebra, scripts/hugejoin/queries/150.sql, Side-way Information Passing, 1000, 0.0019027, 0.025912
Indexed Algebra, scripts/hugejoin/queries/150.sql, Cardinality Estimation, 1000, 4.92232, 84.5463
Indexed Algebra, scripts/hugejoin/queries/150.sql, Join Ordering, 1000, 154.843, 2356
Indexed Algebra, scripts/hugejoin/queries/150.sql, Common Subtree Elimination, 1000, 0.00656436, 0.037096
Indexed Algebra, scripts/hugejoin/queries/150.sql, Physical Planning, 1000, 18.7351, 357.374
Indexed Algebra, scripts/hugejoin/queries/150.sql, Total, 1000, 214.252, 3295.46
Indexed Algebra, scripts/hugejoin/queries/160.sql, Simplify Expressions, 1000, 4.27798, 34.5344
Indexed Algebra, scripts/hugejoin/queries/160.sql, Unnesting, 1000, 4.20794, 76.169
Indexed Algebra, scripts/hugejoin/queries/160.sql, Predicate Pushdown, 1000, 23.7257, 382.502
Indexed Algebra, scripts/hugejoin/queries/160.sql, Side-way Information Passing, 1000, 0.00150819, 0.025942
Indexed Algebra, scripts/hugejoin/queries/160.sql, Cardinality Estimation, 1000, 4.2189, 88.5782
Indexed Algebra, scripts/hugejoin/queries/160.sql, Join Ordering, 1000, 154.873, 2650.41
Indexed Algebra, scripts/hugejoin/queries/160.sql, Common Subtree Elimination, 1000, 0.00767762, 0.038619
Indexed Algebra, scripts/hugejoin/queries/160.sql, Physical Planning, 1000, 19.3696, 421.973
Indexed Algebra, scripts/hugejoin/queries/160.sql, Total, 1000, 193.856, 3699.15
Indexed Algebra, scripts/hugejoin/queries/170.sql, Simplify Expressions, 1000, 10.8253, 38.5986
Indexed Algebra, scripts/hugejoin/queries/170.sql, Unnesting, 1000, 10.8535, 82.382
Indexed Algebra, scripts/hugejoin/queries/170.sql, Predicate Pushdown, 1000, 72.3255, 422.034
Indexed Algebra, scripts/hugejoin/queries/170.sql, Side-way Information Passing, 1000, 0.00214768, 0.026426
Indexed Algebra, scripts/hugejoin/queries/170.sql, Cardinality Estimation, 1000, 9.68095, 95.4303
Indexed Algebra, scripts/hugejoin/queries/170.sql, Join Ordering, 1000, 234.848, 3025.34
Indexed Algebra, scripts/hugejoin/queries/170.sql, Common Subtree Elimination, 1000, 0.00706648, 0.038833
Indexed Algebra, scripts/hugejoin/queries/170.sql, Physical Planning, 1000, 43.0469, 436.872
Indexed Algebra, scripts/hugejoin/queries/170.sql, Total, 1000, 333.686, 4143.88
