Implementation, query, optimization, repetitions, stddev, time
Column Sets, queries.sql, Unnesting, 100, 0.130691, 3.75458
Column Sets, queries.sql, Predicate Pushdown, 100, 0.389135, 3.64628
Column Sets, queries.sql, Side-way Information Passing, 100, 0.00145245, 0.03852
Column Sets, queries.sql, Cardinality Estimation, 100, 0.423414, 6.77041
Column Sets, queries.sql, Join Ordering, 100, 0.0889671, 0.94597
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.112162, 1.38384
Column Sets, queries.sql, Physical Planning, 100, 0.281877, 1.45042
Column Sets, queries.sql, Total, 100, 0.868667, 19.9157
Column Sets, queries.sql, Simplify Expressions, 100, 0.366615, 1.67709
Column Sets, queries.sql, Unnesting, 100, 0.249014, 3.86671
Column Sets, queries.sql, Predicate Pushdown, 100, 0.384426, 3.81297
Column Sets, queries.sql, Side-way Information Passing, 100, 0.00598278, 0.03908
Column Sets, queries.sql, Cardinality Estimation, 100, 0.992562, 7.09172
Column Sets, queries.sql, Join Ordering, 100, 0.0902004, 0.95758
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.209418, 1.4077
Column Sets, queries.sql, Physical Planning, 100, 0.135525, 1.43098
Column Sets, queries.sql, Total, 100, 2.22441, 20.7657
Column Sets, queries.sql, Simplify Expressions, 100, 0.987139, 9.59851
Column Sets, queries.sql, Unnesting, 100, 0.239001, 4.81412
Column Sets, queries.sql, Predicate Pushdown, 100, 0.421622, 6.48363
Column Sets, queries.sql, Side-way Information Passing, 100, 0.000986864, 0.03869
Column Sets, queries.sql, Cardinality Estimation, 100, 1.03873, 7.30757
Column Sets, queries.sql, Join Ordering, 100, 0.10778, 1.73563
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.236959, 1.48471
Column Sets, queries.sql, Physical Planning, 100, 0.0794454, 1.40297
Column Sets, queries.sql, Total, 100, 2.59844, 33.3507
Column Sets, queries.sql, Simplify Expressions, 100, 0.815431, 4.10804
Column Sets, queries.sql, Unnesting, 100, 1.09063, 4.68497
Column Sets, queries.sql, Predicate Pushdown, 100, 0.835848, 4.98446
Column Sets, queries.sql, Side-way Information Passing, 100, 0.00408866, 0.03973
Column Sets, queries.sql, Cardinality Estimation, 100, 4.03585, 18.1755
Column Sets, queries.sql, Join Ordering, 100, 0.253487, 1.58334
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.369553, 1.54725
Column Sets, queries.sql, Physical Planning, 100, 0.20797, 1.21436
Column Sets, queries.sql, Total, 100, 7.26387, 36.8424
Column Sets, queries.sql, Simplify Expressions, 100, 1.32933, 13.4054
Column Sets, queries.sql, Unnesting, 100, 0.617774, 8.70708
Column Sets, queries.sql, Predicate Pushdown, 100, 0.477117, 10.8702
Column Sets, queries.sql, Side-way Information Passing, 100, 0.00161109, 0.03838
Column Sets, queries.sql, Cardinality Estimation, 100, 0.517034, 9.19206
Column Sets, queries.sql, Join Ordering, 100, 0.290062, 3.52383
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.0985505, 2.19902
Column Sets, queries.sql, Physical Planning, 100, 0.357999, 3.04245
Column Sets, queries.sql, Total, 100, 2.37263, 51.4553
Column Sets, queries.sql, Simplify Expressions, 100, 0.759543, 14.7386
Column Sets, queries.sql, Unnesting, 100, 0.541802, 8.94386
Column Sets, queries.sql, Predicate Pushdown, 100, 0.127814, 10.6916
Column Sets, queries.sql, Side-way Information Passing, 100, 0.00065261, 0.03879
Column Sets, queries.sql, Cardinality Estimation, 100, 0.392405, 9.55167
Column Sets, queries.sql, Join Ordering, 100, 0.362262, 3.68793
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.0440272, 2.18896
Column Sets, queries.sql, Physical Planning, 100, 0.112511, 3.19316
Column Sets, queries.sql, Total, 100, 1.33811, 53.512
Column Sets, queries.sql, Simplify Expressions, 100, 0.0932186, 2.56916
Column Sets, queries.sql, Unnesting, 100, 0.359838, 7.47584
Column Sets, queries.sql, Predicate Pushdown, 100, 0.31552, 7.57754
Column Sets, queries.sql, Side-way Information Passing, 100, 0.000673721, 0.03869
Column Sets, queries.sql, Cardinality Estimation, 100, 0.043521, 1.81077
Column Sets, queries.sql, Join Ordering, 100, 0.0192742, 0.64913
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.184994, 0.56342
Column Sets, queries.sql, Physical Planning, 100, 0.00610492, 0.1647
Column Sets, queries.sql, Total, 100, 0.580708, 21.2905
Column Sets, queries.sql, Simplify Expressions, 100, 1.15384, 2.66068
Column Sets, queries.sql, Unnesting, 100, 0.117537, 7.4424
Column Sets, queries.sql, Predicate Pushdown, 100, 0.964561, 7.67892
Column Sets, queries.sql, Side-way Information Passing, 100, 0.000638357, 0.03875
Column Sets, queries.sql, Cardinality Estimation, 100, 0.673264, 1.88101
Column Sets, queries.sql, Join Ordering, 100, 0.0160619, 0.64866
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.105555, 0.55209
Column Sets, queries.sql, Physical Planning, 100, 0.00444072, 0.1638
Column Sets, queries.sql, Total, 100, 1.63969, 21.5054
Column Sets, queries.sql, Simplify Expressions, 100, 0.677341, 6.95853
Column Sets, queries.sql, Unnesting, 100, 1.76555, 9.14765
Column Sets, queries.sql, Predicate Pushdown, 100, 1.2808, 14.07
Column Sets, queries.sql, Side-way Information Passing, 100, 0.000643351, 0.03881
Column Sets, queries.sql, Cardinality Estimation, 100, 1.35837, 13.9481
Column Sets, queries.sql, Join Ordering, 100, 1.52605, 17.4223
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.0464203, 1.9706
Column Sets, queries.sql, Physical Planning, 100, 0.247253, 4.73862
Column Sets, queries.sql, Total, 100, 4.7761, 68.7816
Column Sets, queries.sql, Simplify Expressions, 100, 0.370349, 4.02475
Column Sets, queries.sql, Unnesting, 100, 0.913032, 8.41412
Column Sets, queries.sql, Predicate Pushdown, 100, 0.297502, 12.8491
Column Sets, queries.sql, Side-way Information Passing, 100, 0.394141, 0.07835
Column Sets, queries.sql, Cardinality Estimation, 100, 0.936126, 13.2317
Column Sets, queries.sql, Join Ordering, 100, 0.534573, 16.9572
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.352715, 2.11794
Column Sets, queries.sql, Physical Planning, 100, 0.769909, 4.47342
Column Sets, queries.sql, Total, 100, 2.34382, 62.6367
Column Sets, queries.sql, Simplify Expressions, 100, 1.37184, 19.0247
Column Sets, queries.sql, Unnesting, 100, 0.494887, 9.14696
Column Sets, queries.sql, Predicate Pushdown, 100, 0.62496, 14.7466
Column Sets, queries.sql, Side-way Information Passing, 100, 0.00158906, 0.03843
Column Sets, queries.sql, Cardinality Estimation, 100, 0.397665, 8.01076
Column Sets, queries.sql, Join Ordering, 100, 0.356772, 3.31509
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.0991592, 2.0401
Column Sets, queries.sql, Physical Planning, 100, 0.314695, 2.80151
Column Sets, queries.sql, Total, 100, 2.43647, 59.5996
Column Sets, queries.sql, Simplify Expressions, 100, 0.172936, 13.0206
Column Sets, queries.sql, Unnesting, 100, 0.221071, 7.66808
Column Sets, queries.sql, Predicate Pushdown, 100, 0.655134, 9.83249
Column Sets, queries.sql, Side-way Information Passing, 100, 0.00141067, 0.0387
Column Sets, queries.sql, Cardinality Estimation, 100, 1.31124, 18.5219
Column Sets, queries.sql, Join Ordering, 100, 0.107454, 3.12424
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.694999, 2.09126
Column Sets, queries.sql, Physical Planning, 100, 0.183849, 2.62169
Column Sets, queries.sql, Total, 100, 2.00381, 57.3913
Column Sets, queries.sql, Simplify Expressions, 100, 0.121928, 2.52959
Column Sets, queries.sql, Unnesting, 100, 0.285789, 7.42983
Column Sets, queries.sql, Predicate Pushdown, 100, 0.273052, 7.50688
Column Sets, queries.sql, Side-way Information Passing, 100, 0.0008544, 0.0387
Column Sets, queries.sql, Cardinality Estimation, 100, 0.0368787, 1.81802
Column Sets, queries.sql, Join Ordering, 100, 0.0243675, 0.65394
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.112954, 0.55246
Column Sets, queries.sql, Physical Planning, 100, 0.00560179, 0.165
Column Sets, queries.sql, Total, 100, 0.480168, 21.1347
Column Sets, queries.sql, Simplify Expressions, 100, 0.521227, 2.65896
Column Sets, queries.sql, Unnesting, 100, 0.78466, 7.55935
Column Sets, queries.sql, Predicate Pushdown, 100, 0.297861, 7.48301
Column Sets, queries.sql, Side-way Information Passing, 100, 0.00135779, 0.03858
Column Sets, queries.sql, Cardinality Estimation, 100, 0.109429, 1.84083
Column Sets, queries.sql, Join Ordering, 100, 0.0469931, 0.65649
Column Sets, queries.sql, Common Subtree Elimination, 100, 0.0687883, 0.53858
Column Sets, queries.sql, Physical Planning, 100, 0.00840197, 0.16313
Column Sets, queries.sql, Total, 100, 1.14891, 21.3801
Column Sets, queries.sql, Simplify Expressions, 100, 1.16746, 16.8935
Column Sets, queries.sql, Unnesting, 100, 0.801922, 15.3229
Column Sets, queries.sql, Predicate Pushdown, 100, 0.824879, 19.2067
Column Sets, queries.sql, Side-way Information Passing, 100, 0.00062, 0.03866
Column Sets, queries.sql, Cardinality Estimation, 100, 1.70092, 15.6506
